X--Trace 1::[V(4)],Y--Trace 1::[V(4)],,X--Trace 2::[I(R1)],Y--Trace 2::[I(R1)],,X--Trace 3::[P(R1)],Y--Trace 3::[P(R1)]
0.139008,15.4226,,0.139008,0.0514087,,0.139008,0.792856
0.139529,15.1571,,0.139529,0.0505237,,0.139529,0.765792
0.140024,14.9091,,0.140024,0.049697,,0.140024,0.740936
0.140545,14.6524,,0.140545,0.0488413,,0.140545,0.715643
0.141065,14.4001,,0.141065,0.0480005,,0.141065,0.691213
0.141586,14.1522,,0.141586,0.0471741,,0.141586,0.667618
0.142107,13.9086,,0.142107,0.0463619,,0.142107,0.644829
0.142628,13.6691,,0.142628,0.0455638,,0.142628,0.622817
0.143149,13.4338,,0.143149,0.0447793,,0.143149,0.601557
0.14367,13.2025,,0.14367,0.0440084,,0.14367,0.581022
0.14419,13.017,,0.14419,0.0433902,,0.14419,0.564812
0.144711,14.2917,,0.144711,0.0476388,,0.144711,0.680838
0.145135,15.4288,,0.145135,0.0514295,,0.145135,0.793497
0.145537,15.7954,,0.145537,0.0526512,,0.145537,0.831646
0.145784,15.9659,,0.145784,0.0532197,,0.145784,0.8497
0.145914,16.0106,,0.145914,0.0533686,,0.145914,0.854461
0.146056,16.0152,,0.146056,0.0533841,,0.146056,0.85496
0.146271,15.9604,,0.146271,0.0532012,,0.146271,0.84911
0.146476,15.8684,,0.146476,0.0528946,,0.146476,0.83935
0.146683,15.7623,,0.146683,0.0525411,,0.146683,0.828171
0.146848,15.6758,,0.146848,0.0522525,,0.146848,0.819098
0.147011,15.5908,,0.147011,0.0519693,,0.147011,0.810244
0.147288,15.4478,,0.147288,0.0514926,,0.147288,0.795447
0.147809,15.1818,,0.147809,0.0506061,,0.147809,0.768295
0.148303,14.9334,,0.148303,0.0497781,,0.148303,0.743358
0.148824,14.6763,,0.148824,0.0489211,,0.148824,0.717982
0.149345,14.4236,,0.149345,0.0480788,,0.149345,0.693472
0.149866,14.1753,,0.149866,0.0472511,,0.149866,0.6698
0.150387,13.9313,,0.150387,0.0464376,,0.150387,0.646936
0.150908,13.6914,,0.150908,0.0456382,,0.150908,0.624852
0.151428,13.4557,,0.151428,0.0448524,,0.151428,0.603522
0.151949,13.2241,,0.151949,0.0440802,,0.151949,0.582921
0.15247,13.0033,,0.15247,0.0433443,,0.15247,0.563619
0.152991,14.1549,,0.152991,0.0471831,,0.152991,0.667874
0.153412,15.2898,,0.153412,0.0509661,,0.153412,0.779264
0.153811,15.7438,,0.153811,0.0524793,,0.153811,0.826222
0.154062,15.9482,,0.154062,0.0531606,,0.154062,0.847814
0.154195,16.0058,,0.154195,0.0533528,,0.154195,0.853956
0.154345,16.0217,,0.154345,0.0534057,,0.154345,0.85565
0.154585,15.9697,,0.154585,0.0532325,,0.154585,0.85011
0.154814,15.8684,,0.154814,0.0528948,,0.154814,0.839358
0.155033,15.7559,,0.155033,0.0525197,,0.155033,0.827496
0.155205,15.666,,0.155205,0.0522202,,0.155205,0.818084
0.155373,15.5783,,0.155373,0.0519277,,0.155373,0.808947
0.155675,15.4226,,0.155675,0.0514087,,0.155675,0.792858
0.156196,15.1571,,0.156196,0.0505237,,0.156196,0.765794
0.15669,14.9091,,0.15669,0.049697,,0.15669,0.740938
0.157211,14.6524,,0.157211,0.0488414,,0.157211,0.715645
0.157732,14.4002,,0.157732,0.0480005,,0.157732,0.691215
0.158253,14.1522,,0.158253,0.0471741,,0.158253,0.66762
0.158774,13.9086,,0.158774,0.046362,,0.158774,0.64483
0.159294,13.6691,,0.159294,0.0455638,,0.159294,0.622818
0.159815,13.4338,,0.159815,0.0447794,,0.159815,0.601558
0.160336,13.2025,,0.160336,0.0440084,,0.160336,0.581023
0.160857,13.017,,0.160857,0.0433901,,0.160857,0.564811
0.161378,14.2916,,0.161378,0.0476387,,0.161378,0.680832
0.161801,15.4288,,0.161801,0.0514293,,0.161801,0.793492
0.162203,15.7954,,0.162203,0.0526512,,0.162203,0.831644
0.162451,15.9659,,0.162451,0.0532196,,0.162451,0.849699
0.162581,16.0106,,0.162581,0.0533686,,0.162581,0.854461
0.162722,16.0152,,0.162722,0.0533841,,0.162722,0.85496
0.162938,15.9604,,0.162938,0.0532012,,0.162938,0.849111
0.163143,15.8684,,0.163143,0.0528946,,0.163143,0.839351
0.16335,15.7623,,0.16335,0.0525411,,0.16335,0.828171
0.163515,15.6758,,0.163515,0.0522525,,0.163515,0.819097
0.163678,15.5908,,0.163678,0.0519693,,0.163678,0.810243
0.163955,15.4478,,0.163955,0.0514926,,0.163955,0.795446
0.164475,15.1818,,0.164475,0.0506061,,0.164475,0.768293
0.16497,14.9334,,0.16497,0.049778,,0.16497,0.743356
0.165491,14.6763,,0.165491,0.048921,,0.165491,0.71798
0.166012,14.4236,,0.166012,0.0480788,,0.166012,0.693471
0.166533,14.1753,,0.166533,0.0472511,,0.166533,0.669799
0.166667,14.112,,0.166667,0.0470399,,0.166667,0.663824
